position;company;comp_link;sal_from;sal_to;sal_curr;sal_tax
Пентестер\Специалист по тестированию на проникновение\Администратор ИБ;METASCAN;https://hh.ru/employer/3452369?hhtmFrom=vacancy_search_list;0;220000;₽;на руки
Веб-аналитик;Changellenge;https://hh.ru/employer/1304253?hhtmFrom=vacancy_search_list;;;;
Python/Go developer (middle/middle+);Lamoda Tech;https://hh.ru/employer/9418714?hhtmFrom=vacancy_search_list;;;;
Python-разработчик;Qualitica;https://hh.ru/employer/4181561?hhtmFrom=vacancy_search_list;;;;
Программист Python;ДжамильКо;https://hh.ru/employer/2406?hhtmFrom=vacancy_search_list;150000;180000;₽;на руки
Middle Python-разработчик;AERODISK;https://hh.ru/employer/2723603?hhtmFrom=vacancy_search_list;140000;250000;₽;на руки
Python разработчик (Middle+);ООО Лаборатория Наносемантика;https://hh.ru/employer/4112759?hhtmFrom=vacancy_search_list;150000;250000;₽;на руки
Разработчик (C++, Python);Pitch;https://hh.ru/employer/2796400?hhtmFrom=vacancy_search_list;;;;
Ведущий разработчик Python;ДжамильКо;https://hh.ru/employer/2406?hhtmFrom=vacancy_search_list;200000;250000;₽;на руки
Python разработчик (Backend);R&D;https://hh.ru/employer/11036?dpt=11036-11036-rd&hhtmFrom=vacancy_search_list;;;;
QA Automation (Python);ООО Аренадата Софтвер;https://hh.ru/employer/4813742?hhtmFrom=vacancy_search_list;;;;
Python developer (MTS AI);ПАО «МТС», Live;https://hh.ru/employer/3776?dpt=mts-3776-live&hhtmFrom=vacancy_search_list;;;;
Middle Python разработчик;ООО Дивлаб;https://hh.ru/employer/10400968?hhtmFrom=vacancy_search_list;;;;
Senior Python Developer Python + Django Framework;MaxiBooking;https://hh.ru/employer/1754048?hhtmFrom=vacancy_search_list;;;;
Senior/Middle AQA (Python);Hyperus;https://hh.ru/employer/10399986?hhtmFrom=vacancy_search_list;;;;
Senior Python разработчик (удаленно);ООО Осм Консалтинг;https://hh.ru/employer/6119072?hhtmFrom=vacancy_search_list;;;;
Ведущий разработчик Python / Senior Python Developer (Django+Celery);ООО ПУЛЬС АЙТИМ;https://hh.ru/employer/9777651?hhtmFrom=vacancy_search_list;;;;
Senior Python разработчик (XOps);Сбер для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof&hhtmFrom=vacancy_search_list;;;;
Senior Python developer (GLaDOS);Лаборатория Касперского;https://hh.ru/employer/1057?hhtmFrom=vacancy_search_list;;;;
Backend Python-developer (Django);evrone.ru;https://hh.ru/employer/598471?hhtmFrom=vacancy_search_list;0;280000;₽;на руки
Старший QA-инженер;Клируэй Текнолоджис;https://hh.ru/employer/1137609?hhtmFrom=vacancy_search_list;180000;290000;₽;до вычета налогов
Системный администратор;ООО Лан Аудит;https://hh.ru/employer/3535105?hhtmFrom=vacancy_search_list;80000;120000;₽;на руки
Middle Python developer;Группа НЛМК ИТ и Диджитал;https://hh.ru/employer/988387?dpt=988387-988387-digital&hhtmFrom=vacancy_search_list;;;;
